推,噓,分數,作者,標題,時間
0,0,0,Punchline (哏),[問卦] rapper除了阿姆其他都垃圾吧？,Sat May 30 11:07:17 2020
0,0,0,kenting123 (Ken),[問卦] 台女最大的競爭對手是誰,Sat May 30 11:06:11 2020
0,0,0,askw68666 (奶茶蛤蜊戚風),[問卦] 台灣人也能喊乳滑嗎,Sat May 30 11:04:39 2020
3,8,-5,wakaura (wakaura),[問卦] 女生一大早穿黑絲不會涼嗎？,Sat May 30 08:49:00 2020
0,0,0,Ifault (Not my fault),[問卦] 會有吃到飽只有一個客人的嗎？,Sat May 30 11:07:55 2020
0,0,0,dan1994112 (基隆吳彥祖),[問卦] 還記得躺著玩坐著玩趴著玩的都幾歲了,Sat May 30 11:06:45 2020
0,0,0,kingfsg7326 (認 同 請 按 2 ),[新聞] 中共人大通過港版國安法草案 賴清德：,Sat May 30 11:08:54 2020
16,3,13,Hopesmaple (),[新聞] 川普宣布「終止與WHO關係」將取消香港特,Sat May 30 08:49:26 2020
0,0,0,NewEG (NewEG),[新聞] 陸稱反分裂法 絕非稻草人,Sat May 30 11:04:09 2020
0,0,0,derekhsu (華麗的天下無雙),[爆卦] 全球病例增速擴大破600萬，緩解跡象出現,Sat May 30 11:04:34 2020
0,0,0,STAV72 (刁民黨黨務主委),[爆卦] 宜城市臺商翻牆求救，要救嗎？,Sat May 30 11:05:06 2020
